# messageDelay  cumulativeProbability
0.0100 0.4326
0.0100 0.4336
0.0100 0.4345
0.0100 0.4355
0.0100 0.4365
0.0100 0.4374
0.0100 0.4384
0.0100 0.4394
0.0100 0.4403
0.0100 0.4413
0.0100 0.4423
0.0100 0.4433
0.0100 0.4442
0.0100 0.4452
0.0100 0.4462
0.0100 0.4471
0.0100 0.4481
0.0100 0.4491
0.0100 0.4500
0.0100 0.4510
0.0100 0.4520
0.0100 0.4530
0.0100 0.4539
0.0100 0.4549
0.0100 0.4559
0.0100 0.4568
0.0100 0.4578
0.0100 0.4588
0.0100 0.4597
0.0100 0.4607
0.0100 0.4617
0.0100 0.4627
0.0100 0.4636
0.0100 0.4646
0.0100 0.4656
0.0100 0.4665
0.0100 0.4675
0.0100 0.4685
0.0100 0.4694
0.0100 0.4704
0.0100 0.4714
0.0100 0.4724
0.0100 0.4733
0.0100 0.4743
0.0100 0.4753
0.0100 0.4762
0.0100 0.4772
0.0100 0.4782
0.0100 0.4791
0.0100 0.4801
0.0100 0.4811
0.0100 0.4821
0.0100 0.4830
0.0100 0.4840
0.0100 0.4850
0.0100 0.4859
0.0100 0.4869
0.0100 0.4879
0.0100 0.4888
0.0100 0.4898
0.0100 0.4908
0.0100 0.4918
0.0100 0.4927
0.0100 0.4937
0.0100 0.4947
0.0100 0.4956
0.0100 0.4966
0.0100 0.4976
0.0100 0.4985
0.0100 0.4995
0.0100 0.5005
0.0100 0.5015
0.0100 0.5024
0.0100 0.5034
0.0100 0.5044
0.0100 0.5053
0.0100 0.5063
0.0100 0.5073
0.0100 0.5082
0.0100 0.5092
0.0100 0.5102
0.0100 0.5112
0.0100 0.5121
0.0100 0.5131
0.0100 0.5141
0.0100 0.5150
0.0100 0.5160
0.0100 0.5170
0.0100 0.5179
0.0100 0.5189
0.0100 0.5199
0.0100 0.5209
0.0100 0.5218
0.0100 0.5228
0.0100 0.5238
0.0100 0.5247
0.0100 0.5257
0.0100 0.5267
0.0100 0.5276
0.0100 0.5286
0.0100 0.5296
0.0100 0.5306
0.0100 0.5315
0.0100 0.5325
0.0100 0.5335
0.0100 0.5344
0.0100 0.5354
0.0100 0.5364
0.0100 0.5373
0.0100 0.5383
0.0100 0.5393
